   Elapsed time	 RESP, 	PLETH, 	    V, 	  AVR, 	   II, 
         86.536	  0.417	  0.464	  0.455	  0.384	  0.610
         86.544	  0.427	  0.461	  0.439	  0.345	  0.671
         86.552	  0.436	  0.458	  0.435	  0.314	  0.716
         86.560	  0.445	  0.457	  0.435	  0.290	  0.755
         86.568	  0.455	  0.456	  0.425	  0.269	  0.790
         86.576	  0.464	  0.452	  0.435	  0.275	  0.790
         86.584	  0.474	  0.449	  0.439	  0.265	  0.780
         86.592	  0.485	  0.445	  0.445	  0.290	  0.755
         86.600	  0.497	  0.441	  0.445	  0.324	  0.700
         86.608	  0.508	  0.436	  0.461	  0.365	  0.641
         86.616	  0.520	  0.431	  0.471	  0.410	  0.571
         86.624	  0.532	  0.425	  0.475	  0.455	  0.494
         86.632	  0.544	  0.420	  0.475	  0.494	  0.435
         86.640	  0.554	  0.415	  0.500	  0.529	  0.384
         86.648	  0.565	  0.413	  0.500	  0.551	  0.349
         86.656	  0.574	  0.412	  0.520	  0.565	  0.329
         86.664	  0.584	  0.411	  0.520	  0.584	  0.294
         86.672	  0.593	  0.410	  0.525	  0.590	  0.284
         86.680	  0.604	  0.409	  0.520	  0.596	  0.284
         86.688	  0.615	  0.409	  0.520	  0.590	  0.294
         86.696	  0.626	  0.409	  0.516	  0.590	  0.290
         86.704	  0.635	  0.407	  0.510	  0.596	  0.290
         86.712	  0.645	  0.406	  0.516	  0.590	  0.304
         86.720	  0.655	  0.405	  0.510	  0.580	  0.310
         86.728	  0.664	  0.405	  0.520	  0.584	  0.320
         86.736	  0.673	  0.405	  0.510	  0.571	  0.324
         86.744	  0.682	  0.405	  0.516	  0.571	  0.335
         86.752	  0.691	  0.407	  0.506	  0.571	  0.329
         86.760	  0.700	  0.408	  0.516	  0.565	  0.335
         86.768	  0.708	  0.409	  0.506	  0.571	  0.329
         86.776	  0.716	  0.409	  0.510	  0.575	  0.329
         86.784	  0.722	  0.408	  0.506	  0.575	  0.329
         86.792	  0.729	  0.408	  0.500	  0.580	  0.324
         86.800	  0.734	  0.407	  0.500	  0.571	  0.329
         86.808	  0.739	  0.406	  0.510	  0.580	  0.320
         86.816	  0.743	  0.404	  0.500	  0.580	  0.310
         86.824	  0.747	  0.402	  0.506	  0.590	  0.304
         86.832	  0.751	  0.401	  0.506	  0.584	  0.310
         86.840	  0.755	  0.399	  0.529	  0.565	  0.329
         86.848	  0.758	  0.398	  0.545	  0.561	  0.345
         86.856	  0.761	  0.397	  0.561	  0.551	  0.355
         86.864	  0.765	  0.397	  0.571	  0.555	  0.349
         86.872	  0.769	  0.399	  0.565	  0.561	  0.339
         86.880	  0.773	  0.404	  0.525	  0.575	  0.310
         86.888	  0.777	  0.410	  0.471	  0.584	  0.300
         86.896	  0.783	  0.416	  0.461	  0.571	  0.310
         86.904	  0.788	  0.429	  0.455	  0.571	  0.329
         86.912	  0.795	  0.445	  0.465	  0.571	  0.335
         86.920	  0.802	  0.464	  0.475	  0.565	  0.339
         86.928	  0.809	  0.484	  0.484	  0.575	  0.329
         86.936	  0.817	  0.502	  0.506	  0.580	  0.314
         86.944	  0.826	  0.520	  0.516	  0.575	  0.324
         86.952	  0.835	  0.535	  0.506	  0.580	  0.320
         86.960	  0.843	  0.546	  0.500	  0.575	  0.320
         86.968	  0.850	  0.556	  0.494	  0.571	  0.335
         86.976	  0.858	  0.565	  0.584	  0.596	  0.278
         86.984	  0.866	  0.571	  0.600	  0.490	  0.465
         86.992	  0.874	  0.574	  0.265	  0.075	  1.227
         87.000	  0.882	  0.578	 -0.363	 -0.433	  1.504
         87.008	  0.890	  0.580	 -0.502	 -0.447	  1.504
         87.016	  0.897	  0.580	  0.014	  0.355	  0.876
         87.024	  0.905	  0.579	  0.404	  0.596	  0.359
         87.032	  0.913	  0.577	  0.500	  0.575	  0.335
         87.040	  0.920	  0.573	  0.529	  0.565	  0.355
         87.048	  0.928	  0.567	  0.551	  0.571	  0.324
         87.056	  0.935	  0.559	  0.571	  0.575	  0.310
         87.064	  0.943	  0.549	  0.575	  0.584	  0.294
         87.072	  0.952	  0.539	  0.596	  0.590	  0.284
         87.080	  0.961	  0.527	  0.590	  0.584	  0.284
         87.088	  0.970	  0.517	  0.584	  0.575	  0.300
         87.096	  0.979	  0.509	  0.571	  0.571	  0.320
         87.104	  0.988	  0.501	  0.575	  0.561	  0.339
         87.112	  0.998	  0.496	  0.580	  0.551	  0.355
         87.120	  0.999	  0.490	  0.571	  0.545	  0.355
         87.128	  1.000	  0.486	  0.565	  0.529	  0.380
         87.136	  1.000	  0.483	  0.561	  0.516	  0.410
         87.144	  1.000	  0.480	  0.561	  0.500	  0.435
         87.152	  1.000	  0.478	  0.565	  0.480	  0.461
         87.160	  1.000	  0.475	  0.571	  0.465	  0.490
         87.168	  1.000	  0.472	  0.571	  0.445	  0.525
         87.176	  1.000	  0.469	  0.565	  0.410	  0.575
         87.184	  1.000	  0.467	  0.545	  0.375	  0.620
         87.192	  1.000	  0.465	  0.529	  0.339	  0.676
         87.200	  1.000	  0.461	  0.516	  0.304	  0.745
         87.208	  1.000	  0.458	  0.506	  0.269	  0.800
         87.216	  1.000	  0.455	  0.500	  0.245	  0.831
         87.224	  1.000	  0.452	  0.506	  0.239	  0.845
         87.232	  1.000	  0.448	  0.506	  0.239	  0.841
         87.240	  1.000	  0.444	  0.510	  0.239	  0.826
         87.248	  1.000	  0.441	  0.510	  0.275	  0.780
         87.256	  1.000	  0.437	  0.520	  0.314	  0.722
         87.264	  1.000	  0.433	  0.525	  0.365	  0.645
         87.272	  1.000	  0.430	  0.535	  0.416	  0.565
         87.280	  1.000	  0.427	  0.539	  0.461	  0.494
         87.288	  1.000	  0.425	  0.551	  0.494	  0.439
         87.296	  1.000	  0.422	  0.561	  0.520	  0.394
         87.304	  1.000	  0.419	  0.571	  0.545	  0.359
         87.312	  1.000	  0.416	  0.580	  0.555	  0.335
         87.320	  1.000	  0.413	  0.584	  0.565	  0.314
         87.328	  1.000	  0.411	  0.580	  0.571	  0.310
         87.336	  1.000	  0.409	  0.575	  0.565	  0.320
         87.344	  1.000	  0.406	  0.561	  0.561	  0.329
         87.352	  1.000	  0.404	  0.561	  0.561	  0.324
         87.360	  1.000	  0.403	  0.565	  0.561	  0.329
         87.368	  1.000	  0.404	  0.555	  0.555	  0.335
         87.376	  0.985	  0.404	  0.551	  0.551	  0.345
         87.384	  0.972	  0.405	  0.551	  0.551	  0.349
         87.392	  0.950	  0.407	  0.545	  0.545	  0.355
         87.400	  0.929	  0.408	  0.545	  0.545	  0.355
         87.408	  0.902	  0.407	  0.545	  0.545	  0.359
         87.416	  0.876	  0.407	  0.545	  0.545	  0.355
         87.424	  0.846	  0.407	  0.545	  0.545	  0.355
         87.432	  0.815	  0.406	  0.539	  0.545	  0.355
         87.440	  0.786	  0.407	  0.529	  0.545	  0.355
         87.448	  0.757	  0.408	  0.525	  0.545	  0.355
         87.456	  0.728	  0.408	  0.525	  0.555	  0.349
         87.464	  0.700	  0.408	  0.520	  0.551	  0.345
         87.472	  0.671	  0.407	  0.525	  0.555	  0.339
         87.480	  0.641	  0.405	  0.520	  0.555	  0.345
         87.488	  0.611	  0.403	  0.529	  0.561	  0.339
         87.496	  0.581	  0.402	  0.545	  0.551	  0.349
         87.504	  0.554	  0.400	  0.565	  0.535	  0.371
         87.512	  0.528	  0.397	  0.590	  0.529	  0.380
         87.520	  0.503	  0.396	  0.590	  0.529	  0.380
         87.528	  0.480	  0.397	  0.584	  0.535	  0.371
         87.536	  0.458	  0.402	  0.561	  0.545	  0.345
         87.544	  0.438	  0.409	  0.535	  0.555	  0.324
         87.552	  0.417	  0.420	  0.516	  0.561	  0.329
         87.560	  0.398	  0.434	  0.490	  0.561	  0.335
         87.568	  0.382	  0.452	  0.475	  0.545	  0.349
         87.576	  0.366	  0.471	  0.475	  0.551	  0.349
         87.584	  0.352	  0.488	  0.484	  0.551	  0.355
         87.592	  0.338	  0.501	  0.500	  0.565	  0.339
         87.600	  0.327	  0.516	  0.500	  0.571	  0.335
         87.608	  0.317	  0.530	  0.500	  0.565	  0.335
         87.616	  0.309	  0.542	  0.500	  0.571	  0.335
         87.624	  0.301	  0.550	  0.500	  0.555	  0.339
         87.632	  0.293	  0.555	  0.580	  0.580	  0.284
         87.640	  0.285	  0.560	  0.625	  0.590	  0.274
         87.648	  0.278	  0.563	  0.371	  0.249	  0.912
         87.656	  0.270	  0.566	 -0.308	 -0.292	  1.504
         87.664	  0.263	  0.566	 -0.502	 -0.412	  1.504
         87.672	  0.255	  0.565	 -0.231	  0.214	  1.131
         87.680	  0.248	  0.563	  0.255	  0.529	  0.475
         87.688	  0.240	  0.560	  0.410	  0.545	  0.416
         87.696	  0.234	  0.555	  0.461	  0.525	  0.400
         87.704	  0.226	  0.548	  0.494	  0.535	  0.371
         87.712	  0.218	  0.540	  0.510	  0.545	  0.349
         87.720	  0.211	  0.530	  0.525	  0.551	  0.329
         87.728	  0.205	  0.520	  0.529	  0.555	  0.324
         87.736	  0.198	  0.509	  0.520	  0.545	  0.339
         87.744	  0.194	  0.501	  0.516	  0.535	  0.355
         87.752	  0.190	  0.494	  0.510	  0.525	  0.359
         87.760	  0.186	  0.487	  0.516	  0.520	  0.375
         87.768	  0.183	  0.481	  0.520	  0.520	  0.380
         87.776	  0.180	  0.476	  0.525	  0.516	  0.390
         87.784	  0.178	  0.473	  0.516	  0.506	  0.404
         87.792	  0.178	  0.471	  0.500	  0.490	  0.425
         87.800	  0.178	  0.470	  0.500	  0.484	  0.435
         87.808	  0.179	  0.469	  0.500	  0.471	  0.461
         87.816	  0.180	  0.467	  0.500	  0.455	  0.484
         87.824	  0.181	  0.465	  0.500	  0.435	  0.516
         87.832	  0.183	  0.463	  0.500	  0.410	  0.555
         87.840	  0.185	  0.461	  0.500	  0.380	  0.600
         87.848	  0.187	  0.459	  0.500	  0.349	  0.651
         87.856	  0.189	  0.457	  0.500	  0.320	  0.696
         87.864	  0.192	  0.455	  0.494	  0.294	  0.735
         87.872	  0.194	  0.452	  0.500	  0.275	  0.776
         87.880	  0.196	  0.449	  0.500	  0.265	  0.790
         87.888	  0.199	  0.446	  0.506	  0.265	  0.780
         87.896	  0.202	  0.443	  0.500	  0.265	  0.776
         87.904	  0.206	  0.440	  0.506	  0.284	  0.745
         87.912	  0.210	  0.437	  0.510	  0.324	  0.690
         87.920	  0.214	  0.433	  0.500	  0.365	  0.629
         87.928	  0.218	  0.428	  0.494	  0.404	  0.571
         87.936	  0.222	  0.425	  0.490	  0.449	  0.510
         87.944	  0.226	  0.421	  0.500	  0.480	  0.461
         87.952	  0.230	  0.417	  0.494	  0.506	  0.420
         87.960	  0.235	  0.414	  0.500	  0.525	  0.390
         87.968	  0.239	  0.413	  0.506	  0.545	  0.365
         87.976	  0.243	  0.413	  0.510	  0.545	  0.359
         87.984	  0.246	  0.412	  0.516	  0.551	  0.349
         87.992	  0.250	  0.412	  0.520	  0.551	  0.349
         88.000	  0.252	  0.413	  0.516	  0.545	  0.355
         88.008	  0.255	  0.413	  0.520	  0.551	  0.355
         88.016	  0.257	  0.413	  0.520	  0.545	  0.355
         88.024	  0.259	  0.413	  0.525	  0.545	  0.359
         88.032	  0.260	  0.412	  0.520	  0.545	  0.359
         88.040	  0.262	  0.412	  0.525	  0.539	  0.365
         88.048	  0.262	  0.412	  0.520	  0.545	  0.371
         88.056	  0.262	  0.412	  0.525	  0.539	  0.375
         88.064	  0.260	  0.413	  0.520	  0.539	  0.371
         88.072	  0.259	  0.413	  0.525	  0.539	  0.375
         88.080	  0.257	  0.413	  0.525	  0.535	  0.380
         88.088	  0.255	  0.413	  0.529	  0.545	  0.371
         88.096	  0.252	  0.412	  0.520	  0.545	  0.375
         88.104	  0.249	  0.412	  0.520	  0.545	  0.371
         88.112	  0.244	  0.411	  0.520	  0.545	  0.359
         88.120	  0.240	  0.411	  0.520	  0.555	  0.355
         88.128	  0.234	  0.410	  0.516	  0.561	  0.355
         88.136	  0.228	  0.408	  0.510	  0.555	  0.349
         88.144	  0.221	  0.407	  0.516	  0.551	  0.355
         88.152	  0.215	  0.406	  0.535	  0.539	  0.371
         88.160	  0.209	  0.407	  0.555	  0.525	  0.394
         88.168	  0.202	  0.409	  0.571	  0.520	  0.394
         88.176	  0.196	  0.413	  0.584	  0.525	  0.394
         88.184	  0.190	  0.417	  0.565	  0.525	  0.380
         88.192	  0.183	  0.426	  0.545	  0.539	  0.355
         88.200	  0.176	  0.440	  0.520	  0.551	  0.339
         88.208	  0.169	  0.457	  0.494	  0.545	  0.349
         88.216	  0.161	  0.479	  0.475	  0.545	  0.355
         88.224	  0.154	  0.501	  0.471	  0.539	  0.371
         88.232	  0.148	  0.523	  0.471	  0.545	  0.359
         88.240	  0.143	  0.544	  0.484	  0.551	  0.355
         88.248	  0.137	  0.561	  0.490	  0.561	  0.345
         88.256	  0.133	  0.576	  0.494	  0.565	  0.339
         88.264	  0.128	  0.587	  0.494	  0.571	  0.339
         88.272	  0.124	  0.595	  0.500	  0.565	  0.349
         88.280	  0.121	  0.601	  0.490	  0.555	  0.355
         88.288	  0.117	  0.605	  0.600	  0.584	  0.284
         88.296	  0.114	  0.606	  0.616	  0.490	  0.455
         88.304	  0.111	  0.606	  0.265	  0.133	  1.122
         88.312	  0.109	  0.606	 -0.443	 -0.373	  1.504
         88.320	  0.107	  0.606	 -0.502	 -0.392	  1.504
         88.328	  0.105	  0.605	 -0.086	  0.349	  0.861
         88.336	  0.102	  0.601	  0.320	  0.539	  0.429
         88.344	  0.099	  0.597	  0.429	  0.525	  0.404
         88.352	  0.095	  0.591	  0.480	  0.525	  0.384
         88.360	  0.091	  0.585	  0.510	  0.539	  0.359
         88.368	  0.086	  0.577	  0.529	  0.545	  0.349
         88.376	  0.082	  0.568	  0.545	  0.561	  0.329
         88.384	  0.077	  0.558	  0.545	  0.551	  0.335
         88.392	  0.072	  0.549	  0.535	  0.545	  0.349
         88.400	  0.068	  0.541	  0.529	  0.539	  0.355
         88.408	  0.064	  0.532	  0.535	  0.525	  0.371
         88.416	  0.061	  0.523	  0.520	  0.520	  0.384
         88.424	  0.057	  0.515	  0.529	  0.520	  0.394
         88.432	  0.054	  0.507	  0.535	  0.520	  0.394
         88.440	  0.051	  0.502	  0.529	  0.500	  0.416
         88.448	  0.048	  0.500	  0.520	  0.490	  0.429
         88.456	  0.046	  0.499	  0.520	  0.484	  0.449
         88.464	  0.045	  0.498	  0.520	  0.471	  0.475
         88.472	  0.044	  0.497	  0.520	  0.449	  0.506
         88.480	  0.044	  0.495	  0.516	  0.425	  0.539
         88.488	  0.044	  0.493	  0.510	  0.394	  0.584
         88.496	  0.044	  0.491	  0.500	  0.371	  0.629
         88.504	  0.045	  0.487	  0.500	  0.335	  0.686
         88.512	  0.046	  0.483	  0.494	  0.304	  0.731
         88.520	  0.048	  0.480	  0.490	  0.278	  0.771
         88.528	  0.050	  0.476	  0.494	  0.255	  0.800
         88.536	  0.052	  0.473	  0.494	  0.249	  0.812
         88.544	  0.055	  0.470	  0.500	  0.255	  0.816
         88.552	  0.058	  0.467	  0.506	  0.259	  0.796
         88.560	  0.062	  0.464	  0.510	  0.278	  0.761
         88.568	  0.065	  0.460	  0.506	  0.314	  0.710
         88.576	  0.068	  0.457	  0.500	  0.359	  0.651
         88.584	  0.072	  0.455	  0.500	  0.400	  0.580
         88.592	  0.076	  0.452	  0.500	  0.445	  0.525
         88.600	  0.080	  0.448	  0.506	  0.475	  0.475
         88.608	  0.085	  0.443	  0.520	  0.506	  0.425
         88.616	  0.089	  0.440	  0.520	  0.520	  0.390
         88.624	  0.093	  0.437	  0.535	  0.545	  0.371
         88.632	  0.096	  0.434	  0.529	  0.551	  0.355
         88.640	  0.100	  0.432	  0.545	  0.561	  0.355
         88.648	  0.103	  0.430	  0.545	  0.551	  0.355
         88.656	  0.106	  0.427	  0.545	  0.545	  0.355
         88.664	  0.108	  0.424	  0.545	  0.551	  0.359
         88.672	  0.109	  0.422	  0.545	  0.539	  0.375
         88.680	  0.110	  0.420	  0.539	  0.535	  0.375
         88.688	  0.110	  0.417	  0.539	  0.539	  0.375
         88.696	  0.110	  0.415	  0.535	  0.535	  0.380
         88.704	  0.109	  0.413	  0.539	  0.539	  0.384
         88.712	  0.107	  0.413	  0.529	  0.525	  0.390
         88.720	  0.105	  0.413	  0.535	  0.529	  0.394
         88.728	  0.103	  0.411	  0.539	  0.545	  0.380
         88.736	  0.101	  0.411	  0.535	  0.539	  0.380
         88.744	  0.098	  0.410	  0.539	  0.535	  0.380
         88.752	  0.094	  0.409	  0.535	  0.545	  0.371
         88.760	  0.091	  0.410	  0.529	  0.545	  0.371
         88.768	  0.086	  0.410	  0.529	  0.545	  0.365
         88.776	  0.081	  0.409	  0.525	  0.551	  0.355
         88.784	  0.077	  0.409	  0.525	  0.555	  0.349
         88.792	  0.073	  0.409	  0.529	  0.545	  0.355
         88.800	  0.069	  0.408	  0.545	  0.551	  0.365
         88.808	  0.066	  0.408	  0.565	  0.545	  0.375
         88.816	  0.064	  0.408	  0.580	  0.529	  0.380
         88.824	  0.062	  0.410	  0.590	  0.535	  0.375
         88.832	  0.062	  0.413	  0.575	  0.539	  0.365
         88.840	  0.062	  0.418	  0.551	  0.545	  0.349
         88.848	  0.065	  0.428	  0.510	  0.555	  0.320
         88.856	  0.068	  0.442	  0.500	  0.561	  0.329
         88.864	  0.074	  0.460	  0.475	  0.561	  0.339
         88.872	  0.081	  0.481	  0.475	  0.545	  0.359
         88.880	  0.088	  0.500	  0.465	  0.545	  0.355
         88.888	  0.096	  0.516	  0.475	  0.555	  0.339
         88.896	  0.104	  0.535	  0.490	  0.571	  0.335
         88.904	  0.111	  0.553	  0.494	  0.571	  0.329
         88.912	  0.122	  0.570	  0.494	  0.575	  0.320
         88.920	  0.134	  0.583	  0.500	  0.571	  0.329
         88.928	  0.147	  0.591	  0.490	  0.561	  0.345
         88.936	  0.160	  0.596	  0.551	  0.575	  0.304
         88.944	  0.173	  0.598	  0.600	  0.584	  0.290
         88.952	  0.186	  0.599	  0.400	  0.249	  0.890
         88.960	  0.198	  0.598	 -0.192	 -0.282	  1.504
         88.968	  0.210	  0.597	 -0.502	 -0.412	  1.504
         88.976	  0.224	  0.594	 -0.167	  0.214	  1.147
         88.984	  0.238	  0.592	  0.310	  0.571	  0.410
         88.992	  0.251	  0.588	  0.445	  0.590	  0.339
         89.000	  0.265	  0.585	  0.471	  0.555	  0.355
         89.008	  0.280	  0.581	  0.494	  0.555	  0.339
         89.016	  0.294	  0.577	  0.510	  0.551	  0.335
         89.024	  0.308	  0.570	  0.520	  0.555	  0.320
         89.032	  0.323	  0.563	  0.520	  0.565	  0.320
         89.040	  0.334	  0.555	  0.516	  0.561	  0.324
         89.048	  0.347	  0.546	  0.506	  0.545	  0.335
         89.056	  0.359	  0.539	  0.500	  0.545	  0.345
         89.064	  0.370	  0.530	  0.500	  0.539	  0.355
         89.072	  0.382	  0.522	  0.500	  0.535	  0.365
         89.080	  0.395	  0.514	  0.500	  0.539	  0.371
         89.088	  0.407	  0.508	  0.500	  0.520	  0.380
         89.096	  0.419	  0.504	  0.480	  0.516	  0.404
         89.104	  0.431	  0.500	  0.480	  0.500	  0.410
         89.112	  0.442	  0.498	  0.475	  0.494	  0.425
         89.120	  0.453	  0.497	  0.480	  0.465	  0.471
         89.128	  0.463	  0.497	  0.471	  0.449	  0.490
         89.136	  0.474	  0.496	  0.465	  0.425	  0.539
         89.144	  0.486	  0.496	  0.449	  0.394	  0.596
         89.152	  0.498	  0.496	  0.435	  0.359	  0.641
         89.160	  0.509	  0.496	  0.429	  0.324	  0.696
         89.168	  0.522	  0.496	  0.425	  0.290	  0.745
         89.176	  0.534	  0.495	  0.425	  0.275	  0.776
         89.184	  0.546	  0.494	  0.425	  0.269	  0.790
         89.192	  0.559	  0.494	  0.425	  0.265	  0.800
         89.200	  0.571	  0.494	  0.425	  0.278	  0.776
         89.208	  0.582	  0.493	  0.429	  0.300	  0.735
         89.216	  0.592	  0.493	  0.435	  0.339	  0.680
         89.224	  0.603	  0.493	  0.449	  0.384	  0.610
         89.232	  0.614	  0.492	  0.455	  0.429	  0.545
         89.240	  0.626	  0.490	  0.475	  0.480	  0.465
         89.248	  0.636	  0.489	  0.480	  0.520	  0.400
         89.256	  0.648	  0.488	  0.494	  0.555	  0.355
         89.264	  0.659	  0.488	  0.500	  0.571	  0.329
         89.272	  0.670	  0.488	  0.516	  0.590	  0.300
         89.280	  0.679	  0.488	  0.520	  0.590	  0.284
         89.288	  0.689	  0.488	  0.520	  0.596	  0.284
         89.296	  0.700	  0.488	  0.516	  0.600	  0.274
         89.304	  0.710	  0.488	  0.510	  0.606	  0.278
         89.312	  0.721	  0.488	  0.510	  0.590	  0.290
         89.320	  0.732	  0.488	  0.516	  0.596	  0.278
         89.328	  0.743	  0.488	  0.510	  0.590	  0.294
         89.336	  0.755	  0.488	  0.516	  0.575	  0.314
         89.344	  0.764	  0.488	  0.516	  0.571	  0.320
         89.352	  0.774	  0.488	  0.510	  0.575	  0.320
         89.360	  0.783	  0.486	  0.510	  0.571	  0.335
         89.368	  0.791	  0.484	  0.516	  0.571	  0.335
         89.376	  0.798	  0.483	  0.520	  0.565	  0.335
         89.384	  0.804	  0.482	  0.506	  0.565	  0.339
         89.392	  0.808	  0.482	  0.510	  0.561	  0.345
         89.400	  0.813	  0.482	  0.500	  0.565	  0.335
         89.408	  0.817	  0.482	  0.506	  0.565	  0.335
         89.416	  0.820	  0.482	  0.500	  0.561	  0.335
         89.424	  0.823	  0.482	  0.500	  0.571	  0.329
         89.432	  0.826	  0.482	  0.500	  0.571	  0.324
         89.440	  0.828	  0.481	  0.506	  0.575	  0.320
         89.448	  0.831	  0.479	  0.520	  0.561	  0.339
         89.456	  0.834	  0.477	  0.545	  0.561	  0.349
         89.464	  0.837	  0.474	  0.551	  0.555	  0.355
         89.472	  0.840	  0.472	  0.545	  0.545	  0.355
         89.480	  0.843	  0.471	  0.545	  0.545	  0.355
         89.488	  0.847	  0.472	  0.535	  0.555	  0.335
         89.496	  0.851	  0.475	  0.506	  0.565	  0.324
         89.504	  0.856	  0.481	  0.500	  0.565	  0.329
         89.512	  0.861	  0.491	  0.490	  0.571	  0.335
         89.520	  0.866	  0.501	  0.484	  0.571	  0.335
         89.528	  0.871	  0.515	  0.500	  0.571	  0.329
         89.536	  0.876	  0.531	  0.506	  0.575	  0.329
         89.544	  0.881	  0.548	  0.516	  0.584	  0.310
         89.552	  0.888	  0.565	  0.520	  0.590	  0.294
         89.560	  0.894	  0.579	  0.516	  0.596	  0.300
         89.568	  0.902	  0.591	  0.516	  0.590	  0.310
         89.576	  0.910	  0.601	  0.525	  0.584	  0.310
         89.584	  0.918	  0.608	  0.616	  0.610	  0.259
         89.592	  0.925	  0.612	  0.651	  0.535	  0.390
         89.600	  0.932	  0.615	  0.380	  0.175	  1.051
         89.608	  0.937	  0.616	 -0.237	 -0.353	  1.504
         89.616	  0.945	  0.617	 -0.502	 -0.427	  1.504
         89.624	  0.952	  0.617	 -0.022	  0.310	  0.976
         89.632	  0.961	  0.617	  0.404	  0.600	  0.359
         89.640	  0.969	  0.614	  0.520	  0.610	  0.310
         89.648	  0.978	  0.610	  0.539	  0.565	  0.345
         89.656	  0.986	  0.606	  0.565	  0.555	  0.349
         89.664	  0.993	  0.599	  0.575	  0.555	  0.349
         89.672	  1.000	  0.591	  0.584	  0.561	  0.339
         89.680	  1.000	  0.584	  0.590	  0.561	  0.335
         89.688	  1.000	  0.575	  0.584	  0.555	  0.335
         89.696	  1.000	  0.564	  0.565	  0.545	  0.339
         89.704	  1.000	  0.552	  0.555	  0.535	  0.365
         89.712	  1.000	  0.543	  0.555	  0.520	  0.390
         89.720	  1.000	  0.534	  0.561	  0.520	  0.404
         89.728	  1.000	  0.526	  0.565	  0.516	  0.410
         89.736	  1.000	  0.521	  0.551	  0.500	  0.425
         89.744	  1.000	  0.517	  0.529	  0.484	  0.439
         89.752	  1.000	  0.515	  0.525	  0.475	  0.461
         89.760	  1.000	  0.513	  0.529	  0.461	  0.480
         89.768	  1.000	  0.510	  0.525	  0.449	  0.500
         89.776	  1.000	  0.507	  0.535	  0.429	  0.525
         89.784	  1.000	  0.505	  0.520	  0.410	  0.565
         89.792	  1.000	  0.502	  0.510	  0.375	  0.625
         89.800	  1.000	  0.500	  0.500	  0.335	  0.680
         89.808	  1.000	  0.498	  0.494	  0.300	  0.741
         89.816	  1.000	  0.496	  0.484	  0.269	  0.786
         89.824	  1.000	  0.493	  0.480	  0.249	  0.826
         89.832	  1.000	  0.490	  0.475	  0.239	  0.841
         89.840	  1.000	  0.487	  0.484	  0.239	  0.845
         89.848	  1.000	  0.485	  0.484	  0.239	  0.826
         89.856	  1.000	  0.482	  0.494	  0.269	  0.786
         89.864	  1.000	  0.480	  0.494	  0.310	  0.722
         89.872	  1.000	  0.480	  0.500	  0.355	  0.655
         89.880	  1.000	  0.479	  0.500	  0.404	  0.580
         89.888	  0.997	  0.479	  0.506	  0.445	  0.516
         89.896	  0.993	  0.479	  0.510	  0.484	  0.455
         89.904	  0.981	  0.478	  0.520	  0.516	  0.404
         89.912	  0.969	  0.477	  0.520	  0.539	  0.365
         89.920	  0.956	  0.472	  0.525	  0.555	  0.339
         89.928	  0.943	  0.469	  0.529	  0.561	  0.329
         89.936	  0.927	  0.465	  0.539	  0.571	  0.320
         89.944	  0.911	  0.457	  0.529	  0.571	  0.314
         89.952	  0.891	  0.453	  0.529	  0.571	  0.320
         89.960	  0.871	  0.450	  0.520	  0.561	  0.329
         89.968	  0.848	  0.447	  0.520	  0.551	  0.335
         89.976	  0.825	  0.445	  0.525	  0.545	  0.345
         89.984	  0.800	  0.443	  0.516	  0.545	  0.355
         89.992	  0.775	  0.441	  0.510	  0.545	  0.355
         90.000	  0.752	  0.441	  0.516	  0.539	  0.359
         90.008	  0.728	  0.441	  0.520	  0.545	  0.365
         90.016	  0.705	  0.440	  0.516	  0.545	  0.359
         90.024	  0.682	  0.440	  0.520	  0.545	  0.365
         90.032	  0.657	  0.440	  0.510	  0.545	  0.365
         90.040	  0.632	  0.438	  0.516	  0.545	  0.359
         90.048	  0.606	  0.435	  0.510	  0.545	  0.365
         90.056	  0.581	  0.430	  0.516	  0.539	  0.355
         90.064	  0.557	  0.426	  0.516	  0.551	  0.349
         90.072	  0.534	  0.422	  0.520	  0.555	  0.345
         90.080	  0.512	  0.418	  0.520	  0.555	  0.345
         90.088	  0.491	  0.414	  0.520	  0.555	  0.339
         90.096	  0.470	  0.413	  0.525	  0.551	  0.345
         90.104	  0.450	  0.411	  0.551	  0.539	  0.365
         90.112	  0.429	  0.411	  0.571	  0.535	  0.375
         90.120	  0.410	  0.412	  0.580	  0.525	  0.380
         90.128	  0.392	  0.415	  0.584	  0.525	  0.375
         90.136	  0.375	  0.422	  0.561	  0.525	  0.380
         90.144	  0.362	  0.433	  0.539	  0.545	  0.335
         90.152	  0.348	  0.446	  0.510	  0.551	  0.335
         90.160	  0.336	  0.461	  0.490	  0.551	  0.335
         90.168	  0.326	  0.477	  0.471	  0.555	  0.349
         90.176	  0.318	  0.491	  0.471	  0.539	  0.365
         90.184	  0.310	  0.506	  0.475	  0.539	  0.359
         90.192	  0.304	  0.521	  0.490	  0.545	  0.355
         90.200	  0.298	  0.536	  0.494	  0.561	  0.339
         90.208	  0.294	  0.548	  0.500	  0.565	  0.335
         90.216	  0.290	  0.558	  0.494	  0.571	  0.339
         90.224	  0.287	  0.567	  0.494	  0.555	  0.339
         90.232	  0.284	  0.574	  0.510	  0.555	  0.345
         90.240	  0.283	  0.577	  0.610	  0.584	  0.274
